Country,Year,RecyclingRate
Germany,2015,66.1
Wales,2016/17,63.8
Singapore,2016,61
South Korea,2014,59
Taiwan,2016,58
Netherlands,2016,56.6
Austria,2015,55.9
Slovenia,2015,53.9
Belgium,2015,53.5
Switzerland,2015,52.7
Italy,2016,52.6
Luxembourg,2015,48.3
Sweden,2015,48.1
Denmark,2015,46.3
Scotland,2015,44.2
United Kingdom,2015,43.5
Norway,2015,42.8
England,2016/17,42.8
Poland,2015,42.3
Nothern Ireland,2015/16,41.8
Australia,2015,41.6
Finland,2015,40.6
France,2015,39.6
Hong Kong,2014,36.5
United States,2014,34.6
