country,taxgap.shadow
Albania,4.87
Armenia,5.77
Azerbaijan,6.6
Belarus,-6.36
Bosnia&Herz,-6.91
Bulgaria,4.58
Croatia,3.56
Czech Rep,2.64
Georgia,6.37
Kazakhstan,2
Kosovo,2.69
Kyrgyz Rep,2.28
Macedonia,2.16
Moldova,6
Montenegro,-6.51
Poland,6.52
Romania,2.98
Russian Fed,1.46
Serbia,-8.33
Slovak Rep,6.97
Tajikistan,-1.96
Turkey,3.33
Ukraine,0.5
Austria,-2.63
Belgium,2.84
Canada,-0.11
Denmark,0.56
Estonia,4.28
Finland,-1.95
France,-5.03
Germany,3.03
Greece,5.24
Hungary,2.58
Ireland,11.99
Italy,-0.77
Japan,2.7
Latvia,4.48
Lithuania,4.3
Netherlands,3.06
Norway,2.72
Portugal,6.43
Slovenia,2.38
"Korea, Rep.",4.73
Spain,1.48
Sweden,-0.27
Switzerland,-0.93
UK,-0.74
Argentina,6.16
Brazil,-1.63
Chile,9.09
Colombia,8.02
El Salvador,-0.82
Mexico,5.93
Peru,8.37
Uruguay,12.74
Venezuela,4.75
Indonesia,-2.79
Malaysia,1.97
Thailand,4.39
Tunisia,4.69
South Africa,-1.38
