"","cname","code","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","vdem.mean","p_polity2","fhi","fhi_polity2","grn.seat","r.rate","taxgap.shadow","qog","mean.schl","lit.rate","ldi","hfi","eps_mean","gdp.pc","reg.mean"
"1","Afghanistan","AFG",0.396,0.252,0.17,0.365,0.246,0.2858,0.45,1,0.30833333,NA,NA,NA,NA,3.6,40.5938805,"0.261",NA,NA,"1282.64",403.408826666
"2","Albania","ALB",0.547,0.467,0.323,0.281,0.39,0.4016,0.95,0.5,0.8083333,NA,NA,4.87,0.44444445,9.7,97.847526,"0.43",0.748062015503876,NA,"8516.7002",403.53198666
"3","Algeria","DZA",0.293,0.146,0.106,0.218,0.255,0.2036,0.6,1,0.425,NA,NA,NA,0.44444445,7.9,80.508119,"0.158",0.267441860465116,NA,"5402.1699",403.44572
"4","Andorra","AND",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,10.2,99,"0.95",NA,NA,"32367.33",NA
"5","Angola","AGO",0.304,0.15,0.081,0.113,0.109,0.1514,0.4,1,0.28333333,NA,NA,NA,0.31944445,5,71.164162,"0.169",0.403100775193798,NA,"3771.2",403.366946666
"6","Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,0,0.85957413,NA,NA,NA,NA,9.2,93.86869,"0.85",NA,NA,"12257.71",NA
"7","Argentina","ARG",0.756,0.576,0.505,0.517,0.583,0.5874,0.95,0,0.8916666,NA,NA,6.16,0.47222224,9.8,98.5469215,"0.602",0.587209302325581,NA,"15102.61",403.48581332
"8","Armenia","ARM",0.356,0.213,0.181,0.22,0.29,0.252,0.75,0.5,0.5833333,NA,NA,5.77,0.3611111,11.6,99.768417,"0.24",0.734496124031008,NA,"6451.9399",403.41706666
"9","Australia","AUS",0.886,0.833,0.601,0.824,0.776,0.784,1,0,1,0.69999999,41.6,NA,0.8888889,12.8,99,"0.833",0.955426356589147,5.5,"38611.949",403.5568
"10","Austria","AUT",0.867,0.781,0.651,0.783,0.761,0.7686,1,0,1,13.1,55.9,-2.63,0.91666669,12.1,99,"0.764",0.941860465116279,NA,"38868.039",403.55372
"11","Azerbaijan","AZE",0.189,0.063,0.066,0.063,0.131,0.1024,0.15,1,0.11666666,NA,NA,6.6,0.3611111,10.7,99.80526,"0.058",0.439922480620155,NA,"9793.3096",403.273813332
"12","Bahamas","BHS",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0.75,11.1,93.86869,"0.91",0.777131782945736,NA,"21672.029",NA
"13","Bahrain","BHR",0.127,0.038,0.035,0.063,0.106,0.0738,0,1,0.041666666,NA,NA,NA,0.56018519,9.3,96.590726,"0.038",0.521317829457364,NA,"22498.48",403.2230933332
"14","Bangladesh","BGD",0.331,0.131,0.207,0.181,0.173,0.2046,0.55,0.5,0.525,NA,NA,NA,0.44444445,5.2,67.703016,"0.143",0.403100775193798,NA,"1796.64",403.35592
"15","Barbados","BRB",0.78,0.657,0.335,0.688,0.612,0.6144,NA,0,1,NA,NA,NA,NA,10.5,93.86869,"0.664",0.684108527131783,NA,"22888.971",NA
"16","Belarus","BLR",0.249,0.096,0.081,0.096,0.293,0.163,0.15,1,0.11666666,NA,NA,-6.36,0.39930555,12.2,99.739299,"0.103",NA,NA,"17780.641",403.285933332
"17","Belgium","BEL",0.904,0.843,0.654,0.807,0.841,0.8098,0.9,0,0.95,8,53.5,2.84,0.8611111,11.7,99,"0.801",0.903100775193798,NA,"33764.711",403.53196
"18","Belize","BLZ",NA,NA,NA,NA,NA,NA,NA,0,0.94134331,NA,NA,NA,NA,10.5,82.776817,"0.86",0.631782945736434,NA,"6649.1401",NA
"19","Benin","BEN",0.698,0.588,0.458,0.602,0.549,0.579,0.85,0,0.8416666,NA,NA,NA,NA,3.5,40.40477,"0.575",0.571705426356589,NA,"1413.05",403.45413332
"20","Bhutan","BTN",0.625,0.516,0.379,0.536,0.501,0.5114,0.75,0.5,0.6666667,NA,NA,NA,NA,3.1,63.906818,"0.496",0.583333333333333,NA,"5639.02",403.48561334
"21","Bolivia","BOL",0.633,0.399,0.483,0.466,0.454,0.487,0.85,0.5,0.7583333,NA,NA,NA,0.45833334,8.7,95.141922,"0.418",0.602713178294574,NA,"4023.8701",403.51906666
"22","Bosnia and Herzegovina","BIH",0.545,0.362,0.33,0.32,0.393,0.39,NA,0.5,0.61426697,NA,NA,-6.91,NA,9,98.485764,"0.406",0.707364341085271,NA,"8507.6504",NA
"23","Botswana","BWA",0.686,0.57,0.445,0.542,0.502,0.549,0.9,0,0.825,NA,NA,NA,0.58333331,9.2,88.224411,"0.597",0.686046511627907,NA,"12770.73",403.4548
"24","Brazil","BRA",0.867,0.763,0.62,0.792,0.669,0.7422,0.9,0,0.8666666,NA,NA,-1.63,0.3888889,7.6,92.9071535,"0.769",0.579457364341085,1,"9815.2402",403.50177332
"25","Brunei","BRN",NA,NA,NA,NA,NA,NA,NA,1,0.2871906,NA,NA,NA,0.70833331,9,96.935321,"0.29",0.517441860465116,NA,"46103.84",NA
"26","Bulgaria","BGR",0.724,0.628,0.508,0.576,0.584,0.604,0.95,0,0.8916666,0,NA,4.58,0.4537037,11.8,98.38858,"0.613",0.806201550387597,NA,"13967.45",403.48913332
"27","Burkina Faso","BFA",0.374,0.341,0.236,0.361,0.264,0.3152,0.8,0.5,0.6916667,NA,NA,NA,0.3888889,1.4,39.485575,"0.325",0.571705426356589,NA,"1095.96",403.46137334
"28","Burundi","BDI",0.216,0.065,0.156,0.093,0.144,0.1348,0.45,1,0.26666667,NA,NA,NA,NA,2.9,85.496094,"0.066",0.286821705426357,NA,"663.57001",403.370293334
"29","Cambodia","KHM",0.322,0.115,0.176,0.158,0.126,0.1794,0.6,1,0.425,NA,NA,NA,NA,4.7,78.34594,"0.127",0.666666666666667,NA,"1927.0601",403.44088
"30","Cameroon","CMR",0.359,0.159,0.129,0.218,0.233,0.2196,0.3,1,0.23333333,NA,NA,NA,0.34722224,6.1,76.02831,"0.16",0.335271317829457,NA,"2658.51",403.350586666
